frame,timestamp,person_id,vehicle_id,centroid_x,centroid_y,in_roi,dwell_time,history_len
410,13.65,8,14,230.7,137.8,True,5.31,149
411,13.68,8,14,230.4,137.8,True,5.34,150
412,13.71,8,14,230.1,137.7,True,5.37,151
413,13.75,8,14,229.7,137.6,True,5.41,152
414,13.78,8,14,229.4,137.5,True,5.44,153
415,13.81,8,14,229.1,137.4,True,5.47,154
416,13.85,8,14,228.8,137.3,True,5.51,155
570,18.99,22,1,306.6,148.8,True,0,0
571,19.02,22,1,306.7,149.2,True,0.03,1
572,19.05,22,1,306.8,149.6,True,0.07,2
573,19.09,22,1,306.8,149.8,True,0.1,3
574,19.12,22,1,306.8,150.0,True,0.13,4
575,19.15,22,1,306.9,150.3,True,0.17,5
576,19.19,22,1,306.3,150.1,True,0.2,6
577,19.22,22,1,306.3,150.2,True,0.23,7
578,19.25,22,1,306.3,150.2,True,0.27,8
579,19.29,22,1,306.3,150.2,True,0.3,9
580,19.32,22,1,306.3,150.3,True,0.33,10
581,19.35,22,1,306.3,150.4,True,0.37,11
582,19.39,22,1,306.3,150.6,True,0.4,12
583,19.42,22,1,306.2,150.7,True,0.43,13
584,19.45,22,1,306.2,150.8,True,0.47,14
585,19.49,22,1,306.1,150.9,True,0.5,15
586,19.52,22,1,306.1,151.1,True,0.53,16
587,19.55,22,1,306.1,151.2,True,0.57,17
588,19.59,22,1,306.1,151.3,True,0.6,18
589,19.62,22,1,305.9,151.4,True,0.63,19
590,19.65,22,1,305.9,151.5,True,0.67,20
591,19.69,22,1,305.9,151.7,True,0.7,21
592,19.72,22,1,305.9,151.8,True,0.73,22
593,19.75,22,1,305.9,151.9,True,0.77,23
594,19.79,22,1,305.8,152.1,True,0.8,24
595,19.82,22,1,305.8,152.2,True,0.83,25
596,19.85,22,1,305.8,152.3,True,0.87,26
597,19.89,22,1,305.8,152.4,True,0.9,27
598,19.92,22,1,305.7,152.5,True,0.93,28
599,19.95,22,1,305.7,152.7,True,0.97,29
600,19.99,22,1,305.7,152.8,True,1.0,30
601,20.02,22,1,305.7,153.0,True,1.03,31
602,20.05,22,1,305.6,153.1,True,1.07,32
603,20.09,22,1,305.6,153.2,True,1.1,33
604,20.12,22,1,305.6,153.4,True,1.13,34
605,20.15,22,1,308.6,150.7,True,1.17,35
606,20.19,22,1,309.0,150.6,True,1.2,36
607,20.22,22,1,309.3,150.6,True,1.23,37
608,20.25,22,1,309.7,150.6,True,1.27,38
609,20.29,22,1,310.0,150.6,True,1.3,39
610,20.32,22,1,310.2,150.6,True,1.33,40
611,20.35,22,1,310.4,150.5,True,1.37,41
